f_target,mean_friction,mean_transformative_capacity,mean_human_agency,mean_ai_intervention,adaptive_window_fraction,final_friction,final_transformative_capacity,final_human_agency,final_ai_intervention,adaptive_score
0.05,0.05727087219980087,0.030391764984970777,1.0,0.5633044349304905,0.013,0.05023079787515883,0.021184959263786416,1.0,0.5816513121540562,0.5151958824924854
0.1,0.10648977224412157,0.054328747270595834,1.0,0.5017926173701915,0.015,0.10023049054700583,0.044077776303436,1.0,0.5191633402859638,0.5271643736352979
0.15,0.15571244290742936,0.09601898268585939,1.0,0.44037946573115433,0.019,0.15023779179019447,0.08490681024664234,1.0,0.4569764092511348,0.5480094913429296
0.2,0.2049404274967756,0.16292581931358266,1.0,0.37910428933957574,0.028,0.2002559028775192,0.1514244093974785,1.0,0.395213727511847,0.5814629096567914
0.25,0.25417496352170743,0.26111311967005935,1.0,0.31799818431271987,1.0,0.250287425820694,0.25001638741740667,1.0,0.3339740876709401,0.6305565598350297
0.3,0.3034162737606915,0.3918234407022942,1.0,0.25706593404953093,1.0,0.3003328957509956,0.38215108314036084,1.0,0.2732752691952426,0.6959117203511471
0.35,0.35266284501688766,0.547970029148106,1.0,0.19626772939936288,1.0,0.35038927602729125,0.5407039643734789,1.0,0.21299645926883387,0.773985014574053
0.4,0.4019110799105117,0.7124136195298107,1.0,0.1355104965100972,1.0,0.4004492186417176,0.7081172296130208,1.0,0.15285045534959638,0.8562068097649054
0.45,0.4511556931287618,0.8598419505406787,1.0,0.07465820090440146,1.0,0.4505018698612201,0.8583220557800945,1.0,0.09241530071204779,0.9299209752703393
0.5,0.500390947999197,0.962732762715902,1.0,0.013563484766518258,1.0,0.5005354275149099,0.9629455662157014,1.0,0.031233005734567585,0.981366381357951
0.55,0.5112608807598698,0.9763105557818663,1.0,0.0,1.0,0.5255990698884567,0.9908537291504635,1.0,0.0,0.9881552778909332
0.6,0.5112608807598698,0.9763105557818663,1.0,0.0,1.0,0.5255990698884567,0.9908537291504635,1.0,0.0,0.9881552778909332
0.65,0.5112608807598698,0.9763105557818663,1.0,0.0,1.0,0.5255990698884567,0.9908537291504635,1.0,0.0,0.9881552778909332
0.7,0.5112608807598698,0.9763105557818663,1.0,0.0,1.0,0.5255990698884567,0.9908537291504635,1.0,0.0,0.9881552778909332
0.75,0.5112608807598698,0.9763105557818663,1.0,0.0,1.0,0.5255990698884567,0.9908537291504635,1.0,0.0,0.9881552778909332
0.8,0.5112608807598698,0.9763105557818663,1.0,0.0,1.0,0.5255990698884567,0.9908537291504635,1.0,0.0,0.9881552778909332
0.85,0.5112608807598698,0.9763105557818663,1.0,0.0,1.0,0.5255990698884567,0.9908537291504635,1.0,0.0,0.9881552778909332
0.9,0.5112608807598698,0.9763105557818663,1.0,0.0,1.0,0.5255990698884567,0.9908537291504635,1.0,0.0,0.9881552778909332
0.95,0.5112608807598698,0.9763105557818663,1.0,0.0,1.0,0.5255990698884567,0.9908537291504635,1.0,0.0,0.9881552778909332
